date,date_str,broadcast_time,pgmId,pgmTitle,prdid,title,url,status
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117406879,밀크 모이스처 클렌저 150ml 1개 구성 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1117406879&mseq=420485-14&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117415459,자작나무 워터풀 선크림 50ml 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1117415459&mseq=420485-8&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117415922,진주알 글로우 톤업 선크림 50ml 1개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1117415922&mseq=420485-4&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117417543,레몬 포어리스 에센스 50ml 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1117417543&mseq=420485-22&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117425070,히알스파 모이스처 크림 50ml 1개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1117425070&mseq=420485-10&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117425749,유자 멜라토닝 세럼 30ml 1개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1117425749&mseq=420485-12&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1117923566,"스타트 패키지 클렌징,세럼,에센스 중용량(50ml) 3종 체험특가",https://m.gsshop.com/prd/prd.gs?prdid=1117923566&mseq=420485-17&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1118407031,유자 멜라토닝 세럼 30ml 2개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1118407031&mseq=420485-11&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1118408201,히알스파 모이스처 크림 50ml 2개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1118408201&mseq=420485-9&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1120210893,뷰티 파우치 베이지 (여행용),https://m.gsshop.com/prd/prd.gs?prdid=1120210893&mseq=420485-24&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1120629153,밀크 모이스처 클렌저 150ml 2개 구성 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1120629153&mseq=420485-13&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1120723268,진주알 글로우 톤업 선크림 50ml 2개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1120723268&mseq=420485-3&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1123279343,순면 저자극 엠보싱 화장솜 400매 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1123279343&mseq=420485-16&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1126789954,"바캉스 패키지(클렌저,세럼,에센스 50ml 3종+파우치) 체험특가",https://m.gsshop.com/prd/prd.gs?prdid=1126789954&mseq=420485-18&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1128644587,자작나무 워터풀 선크림 50ml 2개 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1128644587&mseq=420485-7&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1130052630,베스트 트리오 3종 선물세트(세럼+클렌저+선크림+쇼핑백) 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1130052630&mseq=420485-20&pgmId=43307,신규등록
2026-07-26,20260726,12:00,43307,[뷰]최신상 뷰 레몬 에센스 단 하루 이가격+경품찬스,1130202240,순면 저자극 엠보싱 화장솜 400매 2개(총 800매) 체험특가,https://m.gsshop.com/prd/prd.gs?prdid=1130202240&mseq=420485-15&pgmId=43307,신규등록
2026-07-26,20260726,13:00,43308,[산지애] 지금 제철! 아삭복숭아 최초공개!,1088926083,아삭아삭 햇복숭아 총 9kg (3kg*3box),https://m.gsshop.com/prd/prd.gs?prdid=1088926083&mseq=420485-1&pgmId=43308,신규등록
2026-07-26,20260726,13:00,43308,[산지애] 지금 제철! 아삭복숭아 최초공개!,37892265,아삭아삭 햇복숭아 총 6kg (3kg*2box),https://m.gsshop.com/prd/prd.gs?prdid=37892265&mseq=420485-2&pgmId=43308,신규등록
2026-07-26,20260726,14:00,43309,[깨끗한나라]GS 1등 화장지! 방송중에만 20% 할인,1034479700,허브가든 데이지 30롤 3팩(총90롤),https://m.gsshop.com/prd/prd.gs?prdid=1034479700&mseq=420485-1&pgmId=43309,신규등록
2026-07-26,20260726,15:00,43310,[에버콜라겐] 방송중에만 특가! 추가 사은품까지,1004360032,[GS단독] 에버콜라겐 인앤업플러스 4병(16주분) GPH 콜라겐,https://m.gsshop.com/prd/prd.gs?prdid=1004360032&mseq=420485-3&pgmId=43310,신규등록
2026-07-26,20260726,15:00,43310,[에버콜라겐] 방송중에만 특가! 추가 사은품까지,1051506841,[GS단독] 에버콜라겐 인앤업플러스 10병(40주분) GPH 콜라겐,https://m.gsshop.com/prd/prd.gs?prdid=1051506841&mseq=420485-1&pgmId=43310,신규등록
2026-07-26,20260726,15:00,43310,[에버콜라겐] 방송중에만 특가! 추가 사은품까지,1105389764,소비기한 26년 12월 29일 [3박스] 질 유산균 지노마스터 퀵 3개월분,https://m.gsshop.com/prd/prd.gs?prdid=1105389764&mseq=420485-4&pgmId=43310,신규등록
2026-07-26,20260726,15:00,43310,[에버콜라겐] 방송중에만 특가! 추가 사은품까지,1105409573,질 유산균 지노마스터 퀵 6개월분,https://m.gsshop.com/prd/prd.gs?prdid=1105409573&mseq=420485-5&pgmId=43310,신규등록
2026-07-26,20260726,15:00,43310,[에버콜라겐] 방송중에만 특가! 추가 사은품까지,96419060,[GS단독] 에버콜라겐 인앤업플러스 7병(28주분) GPH 콜라겐,https://m.gsshop.com/prd/prd.gs?prdid=96419060&mseq=420485-2&pgmId=43310,신규등록
2026-07-26,20260726,16:00,43311,[쿠쿠] 사일런스 어반 특가! 전고객 스텐냄비 사은품,1008997932,인스퓨어 BLDC 에어서큘레이터 CF-ACE1410W/AC1410UG,https://m.gsshop.com/prd/prd.gs?prdid=1008997932&mseq=420485-4&pgmId=43311,신규등록
2026-07-26,20260726,16:00,43311,[쿠쿠] 사일런스 어반 특가! 전고객 스텐냄비 사은품,1009667331,인스퓨어 BLDC 에어서큘레이터 2개 CF-ACE1410W/AC1410UG,https://m.gsshop.com/prd/prd.gs?prdid=1009667331&mseq=420485-3&pgmId=43311,신규등록
2026-07-26,20260726,16:00,43311,[쿠쿠] 사일런스 어반 특가! 전고객 스텐냄비 사은품,1085799237,마스터셰프 트윈프레셔 사일런스 어반 6인용 CRP-UT0610FGW/FGG,https://m.gsshop.com/prd/prd.gs?prdid=1085799237&mseq=420485-2&pgmId=43311,신규등록
2026-07-26,20260726,16:00,43311,[쿠쿠] 사일런스 어반 특가! 전고객 스텐냄비 사은품,1085860061,마스터셰프 트윈프레셔 사일런스 어반 10인용 CRP-UT1010FGW/FGG,https://m.gsshop.com/prd/prd.gs?prdid=1085860061&mseq=420485-1&pgmId=43311,신규등록
2026-07-26,20260726,18:00,43313,[브루마스] 썸머 샌들/뮬 오직 방송에서만 이 가격!,1116799647,26SS 리본 샌들,https://m.gsshop.com/prd/prd.gs?prdid=1116799647&mseq=420485-2&pgmId=43313,신규등록
2026-07-26,20260726,18:00,43313,[브루마스] 썸머 샌들/뮬 오직 방송에서만 이 가격!,1119106741,26SS 소가죽 모던 크로스 뮬,https://m.gsshop.com/prd/prd.gs?prdid=1119106741&mseq=420485-3&pgmId=43313,신규등록
2026-07-26,20260726,18:00,43313,[브루마스] 썸머 샌들/뮬 오직 방송에서만 이 가격!,1129817071,26SS 천연소가죽 스트랩 통굽샌들,https://m.gsshop.com/prd/prd.gs?prdid=1129817071&mseq=420485-1&pgmId=43313,신규등록
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1102192437,"26SS 컨투어 카프리 팬츠 [런칭 가격69,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1102192437&mseq=420485-9&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1102768373,26SS 플렉슈라 모션 팬츠 (여성용),https://m.gsshop.com/prd/prd.gs?prdid=1102768373&mseq=420485-5&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1104943842,"26SS 나이로프트 웨더프로텍션 점퍼[런칭 가격79,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1104943842&mseq=420485-4&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1104945913,"26SS 쿨플렉스 시어서커 팬츠 2종[런칭 가격 79,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1104945913&mseq=420485-2&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1104948435,"26SS 나이로프트 패커블 레인 점퍼[런칭 가격 79,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1104948435&mseq=420485-6&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1104949260,"26SS 플렉슈라 모션 쇼츠 2종[런칭 가격69,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1104949260&mseq=420485-7&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1104949952,"26SS 쿨플렉스 에어로 시어서커 셔킷(여)[런칭 가격 69,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1104949952&mseq=420485-1&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1104950592,"26SS Askin 컨투어 니트탑 1 +1[런칭 가격69,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1104950592&mseq=420485-8&pgmId=43314,
2026-07-26,20260726,19:00,43314,[분트로이] GS최초 역대최저가! 장마시즌 딱맞는,1115442599,[리오더] 26SS ALLNEW 플렉슈라 액티브셔츠 2종,https://m.gsshop.com/prd/prd.gs?prdid=1115442599&mseq=420485-3&pgmId=43314,
2026-07-26,20260726,19:00,43315,[시스디자인] 하반기 좋은 혜택! 리빙페어 특집!,1131441084,[시스디자인] 7월 26일 단 하루 라이브 혜택,https://m.gsshop.com/deal/deal.gs?dealNo=1131441084&mseq=420485-1&pgmId=43315,신규등록
2026-07-26,20260726,20:00,43316,[코어] 26SS 썸머 본격 SALE! 역대 최저가!,1103601214,"26SS 레터링 니트 2종 [런칭 가격 79,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1103601214&mseq=420485-7&pgmId=43316,신규등록
2026-07-26,20260726,20:00,43316,[코어] 26SS 썸머 본격 SALE! 역대 최저가!,1103614016,26SS 후드 베스트,https://m.gsshop.com/prd/prd.gs?prdid=1103614016&mseq=420485-9&pgmId=43316,신규등록
2026-07-26,20260726,20:00,43316,[코어] 26SS 썸머 본격 SALE! 역대 최저가!,1103615120,26SS 티어드 스커트,https://m.gsshop.com/prd/prd.gs?prdid=1103615120&mseq=420485-8&pgmId=43316,신규등록
2026-07-26,20260726,20:00,43316,[코어] 26SS 썸머 본격 SALE! 역대 최저가!,1103681696,"26SS 데미지 로우컷 데님 [런칭 가격 69,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1103681696&mseq=420485-5&pgmId=43316,신규등록
2026-07-26,20260726,20:00,43316,[코어] 26SS 썸머 본격 SALE! 역대 최저가!,1103683106,"26SS 기자면 링거 티셔츠 3종 [런칭 가격 89,900원]",https://m.gsshop.com/prd/prd.gs?prdid=1103683106&mseq=420485-1&pgmId=43316,신규등록
